-2.64754,3.98517
-2.44262,3.69597
-2.19672,3.31038
-1.9274,2.96928
-1.75176,2.65042
-1.58782,2.47246
-1.64637,2.38347
-1.66979,2.24258
-1.41218,2.3464
-1.65222,2.17585
-1.40047,2.27966
-1.72248,2.04979
-1.27166,2.23517
-1.8103,1.87924
-1.19555,2.12394
-1.91569,1.74576
-1.03162,2.11653
-2.05035,1.58263
-0.855972,2.08686
-2.14403,1.38983
-0.656909,2.01271
-2.30211,1.10805
-0.211944,1.93856
-1.05504,1.42691
-1.58197,0.981992
-1.95082,0.492585
-2.2904,0.0476695
-2.62998,-0.38983
-2.8993,-0.745763
-3.19789,-1.13136
-3.49649,-1.54661
-3.81265,-1.95445
-4.14052,-2.39195
-4.39227,-2.71822
-4.52693,-2.89619
